                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 6.0914,                 53.403,                 4.1215,                      0,                      0,                      0,                      0,                 6.8194,                 49.261,                  4.168,                0.00018,                0.00018,                0.00018
                      1,                 5.8344,                 43.344,                 3.8364,                      0,                      0,                      0,                      0,                 6.8229,                 49.688,                 4.1914,             0.00037624,             0.00037624,             0.00037624
                      2,                 5.7198,                 23.268,                 3.5309,                      0,                      0,                      0,                      0,                 6.8305,                 50.107,                  4.238,             0.00056852,             0.00056852,             0.00056852
                      3,                 4.7364,                 12.826,                 2.8303,                      0,                      0,                      0,                      0,                 6.8418,                 46.014,                 4.3114,             0.00075683,             0.00075683,             0.00075683
                      4,                 4.2827,                 8.4169,                 2.4767,                      0,                      0,                      0,                      0,                 6.8585,                 40.319,                  4.433,             0.00094119,             0.00094119,             0.00094119
                      5,                 4.2984,                 7.0132,                 2.1456,                      0,                      0,                      0,                      0,                 6.8875,                 40.267,                 4.6627,              0.0011216,              0.0011216,              0.0011216
                      6,                 4.0591,                  6.133,                 2.0874,                      0,                      0,                      0,                      0,                 6.7941,                 47.815,                  4.863,               0.001298,               0.001298,               0.001298
                      7,                 3.9751,                 5.7124,                 1.9646,                      0,                      0,                      0,                      0,                 6.5722,                 52.185,                 5.0213,              0.0014705,              0.0014705,              0.0014705
                      8,                 3.9448,                 5.1972,                  1.874,                      0,                      0,                      0,                      0,                 6.3525,                 57.671,                 4.9206,               0.001639,               0.001639,               0.001639
                      9,                 3.8586,                 4.8178,                 1.7735,                      0,                      0,                      0,                      0,                 5.1837,                 57.344,                 4.5068,              0.0018036,              0.0018036,              0.0018036
                     10,                 3.8777,                 4.6602,                 1.9447,                      0,                      0,                      0,                      0,                 5.5928,                   59.2,                 4.6929,               0.001802,               0.001802,               0.001802
                     11,                 3.7429,                 4.4331,                 1.7272,                      0,                      0,                      0,                      0,                 5.9043,                 42.053,                 4.5455,               0.001802,               0.001802,               0.001802
                     12,                 3.7681,                 4.3708,                 1.6693,                0.00055,                0.04858,                0.00191,                0.00042,                 4.9407,                 14.063,                 2.7192,              0.0017822,              0.0017822,              0.0017822
                     13,                 3.7156,                  4.019,                 1.7037,                 0.0865,                0.08907,                0.03074,                0.00882,                  3.749,                 4.9192,                 1.8387,              0.0017624,              0.0017624,              0.0017624
                     14,                 3.6493,                 3.7784,                  1.704,                0.21559,                0.04858,                0.03117,                0.00845,                 3.6639,                 4.3327,                  1.815,              0.0017426,              0.0017426,              0.0017426
                     15,                 3.5364,                 3.5404,                 1.6119,                0.09749,                0.13765,                0.03783,                0.00888,                  3.548,                 3.7111,                 1.7402,              0.0017228,              0.0017228,              0.0017228
                     16,                 3.4943,                 3.5844,                 1.6719,                0.15323,                0.09717,                 0.0538,                0.01207,                 3.4729,                 3.2916,                 1.7169,               0.001703,               0.001703,               0.001703
                     17,                 3.6576,                 3.4568,                 1.6436,                 0.1468,                0.14558,                0.06279,                0.01244,                 3.4383,                 3.2064,                 1.7101,              0.0016832,              0.0016832,              0.0016832
                     18,                  3.315,                 3.1665,                  1.615,                0.19179,                0.14575,                0.07542,                0.01624,                 3.3727,                 3.1755,                 1.6986,              0.0016634,              0.0016634,              0.0016634
                     19,                 3.5191,                 3.2861,                 1.5761,                0.14423,                0.15789,                0.09899,                0.02294,                 3.2971,                 3.1422,                 1.5913,              0.0016436,              0.0016436,              0.0016436
                     20,                 3.4716,                 3.1294,                 1.5915,                0.21553,                0.15462,                0.09281,                0.02226,                 3.2085,                 3.0879,                 1.5741,              0.0016238,              0.0016238,              0.0016238
                     21,                 3.4314,                 3.0528,                 1.6173,                0.14081,                 0.1336,                0.06085,                0.01486,                 3.5607,                 2.9508,                 1.6348,               0.001604,               0.001604,               0.001604
                     22,                 3.3225,                 3.0393,                 1.6035,                0.23775,                0.18623,                0.13068,                0.03092,                 3.1582,                 2.8191,                 1.5533,              0.0015842,              0.0015842,              0.0015842
                     23,                 3.3421,                  2.911,                 1.5545,                 0.2945,                0.19433,                0.15451,                0.04185,                 3.0706,                 2.7881,                 1.5354,              0.0015644,              0.0015644,              0.0015644
                     24,                 3.3906,                 2.8345,                 1.5889,                0.20827,                0.13765,                0.08154,                0.02078,                 3.2117,                 3.0338,                 1.5827,              0.0015446,              0.0015446,              0.0015446
                     25,                 3.1324,                 2.6697,                 1.4879,                0.17224,                0.08502,                0.06553,                 0.0145,                 3.1327,                 3.3139,                 1.5883,              0.0015248,              0.0015248,              0.0015248
                     26,                 3.1525,                 2.5959,                 1.5413,                0.29325,                0.21053,                0.14212,                0.03584,                  3.089,                   2.64,                 1.5319,               0.001505,               0.001505,               0.001505
                     27,                 3.1289,                 2.5246,                 1.4953,                  0.387,                0.27935,                0.20224,                0.05281,                 2.9804,                  2.382,                 1.4705,              0.0014852,              0.0014852,              0.0014852
                     28,                 3.0624,                 2.4753,                 1.4272,                0.36996,                0.23482,                0.21261,                0.05335,                 3.1306,                 2.4539,                 1.5268,              0.0014654,              0.0014654,              0.0014654
                     29,                 3.1124,                 2.4089,                 1.3759,                0.40622,                0.25911,                0.23173,                0.06393,                 3.0088,                 2.2134,                 1.4892,              0.0014456,              0.0014456,              0.0014456
                     30,                 3.2225,                 2.3727,                 1.5038,                 0.2879,                0.24696,                 0.1643,                0.03961,                  3.308,                  2.263,                 1.6101,              0.0014258,              0.0014258,              0.0014258
                     31,                 3.1794,                 2.3725,                 1.4561,                0.32901,                0.30373,                0.25204,                 0.0614,                 2.9759,                 2.2106,                 1.4804,               0.001406,               0.001406,               0.001406
                     32,                 2.9635,                 2.2489,                 1.4307,                0.37008,                0.32389,                 0.2888,                0.07798,                 2.9073,                  2.131,                 1.4635,              0.0013862,              0.0013862,              0.0013862
                     33,                 2.9343,                 2.2406,                 1.4067,                0.41765,                0.34008,                0.31077,                0.09297,                 2.7515,                 2.1503,                 1.3986,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.9131,                 2.1974,                 1.3935,                0.39011,                0.36032,                0.31104,                0.07782,                 2.8844,                 2.0986,                 1.4162,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.9177,                 2.1641,                 1.3868,                0.45391,                0.33603,                0.34376,                 0.1039,                  2.692,                  1.951,                 1.3663,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.8434,                  2.143,                 1.3467,                0.53775,                0.34008,                0.35976,                0.12202,                 2.6576,                 1.8915,                 1.3561,               0.001307,               0.001307,               0.001307
                     37,                 2.7967,                 2.0869,                 1.3659,                0.54935,                0.38462,                 0.4008,                0.12454,                 2.6622,                 1.9122,                 1.3727,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.7623,                 1.9878,                 1.3607,                0.54251,                0.35223,                0.39401,                0.12857,                 2.6353,                 1.9439,                 1.3512,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.7878,                 1.9969,                 1.3539,                0.55418,                0.42105,                0.42702,                0.14141,                 2.5118,                 1.8161,                 1.3039,              0.0012476,              0.0012476,              0.0012476
                     40,                  2.767,                 2.0138,                 1.3685,                 0.5568,                  0.417,                0.40984,                 0.1313,                 2.5342,                 1.8369,                 1.3102,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.7244,                 1.9826,                   1.34,                0.48272,                0.37247,                0.39819,                0.12468,                 2.7219,                 1.8548,                 1.3361,               0.001208,               0.001208,               0.001208
                     42,                 2.7877,                 1.9579,                 1.3085,                0.51814,                0.34818,                0.39363,                0.12877,                 2.5603,                 1.8523,                 1.3264,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.7233,                 1.8226,                 1.3208,                0.51112,                0.42915,                0.42954,                0.14868,                 2.5213,                 1.6728,                 1.3311,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.7787,                 1.9159,                  1.309,                0.57762,                 0.4413,                0.45706,                0.15604,                 2.4913,                 1.6447,                 1.3072,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.6378,                 1.8447,                 1.2839,                0.51674,                  0.417,                0.43559,                0.13913,                 2.5856,                 1.7026,                  1.295,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.7413,                 1.9121,                  1.366,                0.51759,                0.42915,                0.42713,                0.14133,                 2.5797,                 1.7277,                 1.3022,               0.001109,               0.001109,               0.001109
                     47,                 2.6042,                  1.778,                 1.2853,                0.60148,                0.46154,                0.49793,                 0.1735,                 2.4563,                 1.6184,                 1.2632,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.6783,                 1.7661,                 1.2993,                  0.682,                 0.4602,                0.52163,                0.18453,                 2.4274,                  1.645,                 1.2628,              0.0010694,              0.0010694,              0.0010694
                     49,                   2.65,                 1.7401,                 1.2711,                0.61683,                0.48988,                 0.5194,                0.17968,                 2.4637,                 1.5875,                 1.2679,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.5866,                 1.8119,                  1.288,                0.65044,                0.47773,                0.51882,                0.17873,                 2.3671,                 1.5123,                 1.2466,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.6078,                 1.7095,                  1.358,                0.64384,                0.47368,                0.53005,                0.19338,                 2.3356,                 1.5121,                  1.239,                0.00101,                0.00101,                0.00101
                     52,                 2.6514,                 1.8156,                 1.3291,                0.56318,                0.47368,                 0.4954,                0.14347,                 2.5731,                 1.5974,                 1.2878,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.6079,                 1.7071,                 1.2705,                0.60576,                0.45749,                0.48162,                0.16235,                 2.4492,                 1.6137,                 1.2671,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.5992,                 1.7303,                 1.2673,                0.64559,                 0.4251,                 0.4581,                0.16432,                 2.4132,                 1.5804,                 1.2717,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.6621,                 1.8075,                 1.2932,                0.59522,                 0.4413,                0.45611,                0.14898,                 2.4567,                 1.6334,                 1.2748,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.5681,                 1.7419,                 1.2765,                0.62264,                0.49393,                0.53883,                0.18389,                 2.3413,                 1.5457,                 1.2508,               0.000911,               0.000911,               0.000911
                     57,                 2.5585,                 1.7309,                 1.2409,                0.69305,                0.48178,                0.54874,                0.21271,                  2.273,                 1.6112,                 1.2202,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.5013,                 1.6412,                 1.2749,                0.67783,                0.51822,                0.56765,                0.21995,                 2.2662,                 1.4522,                 1.2079,              0.0008714,              0.0008714,              0.0008714
