                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 6.0914,                 53.403,                 4.1215,                      0,                      0,                      0,                      0,                 6.8194,                 49.261,                  4.168,                0.00018,                0.00018,                0.00018
                      1,                 5.8565,                 44.273,                 3.8825,                      0,                      0,                      0,                      0,                 6.8228,                 49.661,                 4.1906,             0.00037498,             0.00037498,             0.00037498
                      2,                 5.7797,                 24.646,                 3.4954,                      0,                      0,                      0,                      0,                   6.83,                 50.022,                  4.236,             0.00056469,             0.00056469,             0.00056469
                      3,                 5.1156,                 15.114,                 2.9543,                      0,                      0,                      0,                      0,                 6.8424,                 46.147,                 4.3209,             0.00074911,             0.00074911,             0.00074911
                      4,                 4.4056,                 8.6058,                  2.499,                      0,                      0,                      0,                      0,                 6.8594,                 42.249,                 4.4458,             0.00092826,             0.00092826,             0.00092826
                      5,                   4.22,                 7.2187,                 2.1726,                      0,                      0,                      0,                      0,                 6.8736,                 44.816,                 4.5446,              0.0011021,              0.0011021,              0.0011021
                      6,                 4.1253,                 6.3193,                 2.0992,                      0,                      0,                      0,                      0,                 6.8905,                 42.506,                 4.7224,              0.0012707,              0.0012707,              0.0012707
                      7,                 4.0223,                 5.8975,                 1.9238,                      0,                      0,                      0,                      0,                 6.7485,                 52.879,                  4.869,               0.001434,               0.001434,               0.001434
                      8,                 3.9748,                 5.2555,                 1.8258,                      0,                      0,                      0,                      0,                 6.6873,                 58.525,                 4.9051,               0.001592,               0.001592,               0.001592
                      9,                 3.8335,                 4.8069,                 1.8185,                      0,                      0,                      0,                      0,                 6.6632,                  48.94,                 4.8822,              0.0017448,              0.0017448,              0.0017448
                     10,                 3.6676,                 4.7304,                  1.868,                      0,                      0,                      0,                      0,                 6.6123,                 48.332,                 4.8706,               0.001736,               0.001736,               0.001736
                     11,                 3.5934,                 4.3067,                 1.7062,                  8e-05,                0.00405,                  4e-05,                      0,                  6.047,                 30.194,                 4.5273,               0.001736,               0.001736,               0.001736
                     12,                 3.7396,                 4.3433,                   1.66,                0.00036,                0.04453,                0.00224,                 0.0005,                 4.8302,                 17.625,                 2.7459,              0.0017096,              0.0017096,              0.0017096
                     13,                 3.6723,                 4.0301,                 1.6675,                0.11973,                0.04858,                0.01889,                0.00476,                 3.9021,                 5.0857,                 1.9724,              0.0016832,              0.0016832,              0.0016832
                     14,                 3.6585,                 3.7786,                 1.6921,                0.20312,                0.04049,                0.05588,                0.01376,                 3.4186,                 3.8229,                 1.7407,              0.0016568,              0.0016568,              0.0016568
                     15,                  3.572,                 3.7086,                 1.5945,                0.00581,                0.46559,                0.05003,                0.01037,                 3.5112,                  4.039,                 1.7939,              0.0016304,              0.0016304,              0.0016304
                     16,                 3.4457,                 3.7062,                 1.6387,                 0.0702,                0.31174,                0.06056,                0.01362,                 3.3566,                 3.8458,                 1.6906,               0.001604,               0.001604,               0.001604
                     17,                 3.5976,                 3.4633,                 1.6257,                 0.0071,                0.53846,                0.06002,                0.01331,                 3.3601,                 3.7564,                 1.6666,              0.0015776,              0.0015776,              0.0015776
                     18,                 3.3426,                 3.1848,                 1.5749,                0.03485,                0.44939,                0.10005,                0.02611,                 3.2299,                 3.5068,                  1.609,              0.0015512,              0.0015512,              0.0015512
                     19,                  3.377,                 3.2423,                 1.5334,                0.21041,                0.10931,                0.09219,                0.02769,                 3.1682,                 3.2507,                 1.5286,              0.0015248,              0.0015248,              0.0015248
